drug	target	relation
DB00818	GABRB3	1
DB00139	ALDH5A1	-1
DB01142	ADRA1B	-1
DB04846	ADRB2	1
DB09238	CACNA1S	-1
DB00934	CHRM5	-1
DB00935	ADRA1A	1
DB00241	GABRG2	1
DB01001	ADRB2	1
DB00842	GABRA1	1
DB08995	AHR	1
DB00714	DRD1	1
DB00489	ADRB1	-1
DB09068	HTR1B	1
DB00508	DRD1	-1
DB00363	CHRM1	-1
DB01156	HTR3A	-1
DB00285	SLC6A3	-1
DB01175	ADRA2C	-1
DB01409	CHRM3	-1
DB01209	OPRK1	-1
DB01098	HMGCR	-1
DB00321	NTRK2	1
DB00211	ADRA1A	1
DB01069	CHRM4	-1
DB13746	CACNA1S	-1
DB11156	CHRM1	-1
DB00988	DRD3	1
DB00925	ADRA1A	-1
DB12010	PRKAG3	-1
DB00555	OPRK1	-1
DB00248	DRD1	1
DB01267	DRD3	-1
DB09016	HRH1	-1
DB01577	ADRA2A	1
DB11986	NTRK2	-1
DB01365	ADRB3	1
DB06694	ADRA2B	1
DB00483	CHRM2	-1
DB00421	NR3C1	-1
DB01396	ATP1A1	-1
DB00795	PPARG	1
DB13961	SCN5A	-1
DB00246	CHRM2	-1
DB01136	ADRA2C	-1
DB04855	ADRB1	-1
DB11994	ALOX5	-1
DB09167	SLC6A2	-1
DB00312	GRIN3A	-1
DB01589	GABRA2	1
DB11587	ADRB2	1
DB00543	HTR2C	-1
DB00656	ADRA1A	-1
DB00041	IL2RB	1
DB00599	GABRA1	1
DB00028	FCGR3B	-1
DB06216	DRD3	-1
DB00424	CHRM2	-1
DB12010	BMPR2	-1
DB00540	CHRM1	-1
DB06702	CHRM1	-1
DB01404	IL6	-1
DB06616	ABL1	-1
DB00591	ANXA2	1
DB06403	EDNRA	-1
DB00947	ESR1	-1
DB00564	SCN2A	-1
DB01033	IMPDH2	-1
DB11760	PARP2	-1
DB00630	ATP6V1A	-1
DB09195	HRH1	-1
DB00777	HTR2A	-1
DB09128	ADRA1B	-1
DB00261	PDE3A	-1
DB01586	AKR1C2	1
DB12010	ERBB4	-1
DB01452	OPRK1	1
DB06594	MTNR1B	1
DB00734	DRD4	-1
DB00281	EGFR	-1
DB01142	SLC6A2	-1
DB09089	CHRM4	-1
DB01144	CA2	-1
DB13269	SCN1A	-1
DB00839	KCNJ11	-1
DB09241	NOS1	-1
DB00241	GABRA2	1
DB00921	OPRM1	1
DB00842	GABRB3	1
DB00292	GABRA1	1
DB08814	PTGS1	-1
DB00714	DRD3	1
DB12010	MAP4K2	-1
DB00441	TYMS	-1
DB01023	CACNA1S	-1
DB08895	JAK3	-1
DB00475	GABRD	1
DB00363	HTR3A	-1
DB01092	ATP1A2	-1
DB04843	CHRM1	-1
DB00252	CACNA1A	-1
DB01238	HTR1E	-1
DB01175	SLC6A4	-1
DB01113	PDE4B	-1
DB01049	HTR2A	-1
DB00289	GRIN3A	-1
DB01148	CHRM1	-1
DB06412	AR	1
DB01018	ADRA2A	1
DB05541	SCN1A	-1
